Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,36,Australia,AUS,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,146578693,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,251,France,FRA,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,3713510,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,251,France,FRA,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,277151,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,643,Russian Federation,RUS,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,3795839,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,699,India,IND,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,234667,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,704,Viet Nam,VNM,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,546000,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,704,Viet Nam,VNM,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,143330,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,36,Australia,AUS,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,107160976,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,708102,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,251,France,FRA,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,68361045,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,251,France,FRA,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,24406,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,643,Russian Federation,RUS,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,20464415,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,5787461,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,704,Viet Nam,VNM,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,322427,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,704,Viet Nam,VNM,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,241837,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,36,Australia,AUS,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,127748493,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,9288204,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,251,France,FRA,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,112614221,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,251,France,FRA,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,42626,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,643,Russian Federation,RUS,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,23069,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,184466,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,699,India,IND,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,1398257,,,0
