Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,36,Australia,AUS,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,279281008,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,251,France,FRA,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,30364048,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,251,France,FRA,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,193898,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,643,Russian Federation,RUS,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,21302670,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,58635,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,704,Viet Nam,VNM,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,1281487,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,704,Viet Nam,VNM,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,320552,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,36,Australia,AUS,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,1025156055,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,1750129,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,251,France,FRA,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,196772533,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,251,France,FRA,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,1213062,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,643,Russian Federation,RUS,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,12136,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,20224844,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,699,India,IND,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,58453,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,699,India,IND,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,2000,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,704,Viet Nam,VNM,,,,,,,,01,Meat and meat preparations,1,No Quantity,,,,,,,1081896,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,36,Australia,AUS,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,263682574,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,10462910,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,251,France,FRA,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,254621508,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,251,France,FRA,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,59578,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,643,Russian Federation,RUS,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,731648,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,235200,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,704,Viet Nam,VNM,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,231025,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,704,Viet Nam,VNM,,,,,,,,02,Dairy products and birds’ eggs,1,No Quantity,,,,,,,693483,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,36,Australia,AUS,,,,,,,,03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates, and preparations thereof",1,No Quantity,,,,,,,74121021,,,0
