Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,276,Germany,DEU,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,2809277,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,276,Germany,DEU,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,1325984,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,344,"China, Hong Kong SAR",HKG,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,513122,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,344,"China, Hong Kong SAR",HKG,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,507450249,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,392,Japan,JPN,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,2512735,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,5742550,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,806,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,2726936,,,0
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,10816309,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,00,Live animals other than animals of division 03,1,No Quantity,,,,,,,22341450,,,0
