Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2010,2010,2010,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,167792219,,,0
S4,2010,2010,2010,2,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,39595011,,,0
S4,2010,2010,2010,2,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,3587557,,,0
S4,2010,2010,2010,2,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,2420766,,,0
S4,2010,2010,2010,2,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,1831368597,,,0
S4,2010,2010,2010,2,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,62147035667,,,0
S4,2010,2010,2010,2,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,844166871,,,0
S4,2010,2010,2010,2,0,2,Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,5644306,,,0
S4,2010,2010,2010,2,0,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,1231231722,,,0
S4,2010,2010,2010,2,0,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,59822052,,,0
S4,2010,2010,2010,2,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,251649154,,,0
S4,2010,2010,2010,2,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,3655654639,,,0
S4,2010,2010,2010,2,0,2,Export,64,Bhutan,BTN,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,917584,,,0
S4,2010,2010,2010,2,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,0,,,,0,,1857304386,,,0
S4,2010,2010,2010,2,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,295892147,,,0
S4,2010,2010,2010,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,33013795518,,,0
S4,2010,2010,2010,2,0,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,13556660,,,0
S4,2010,2010,2010,2,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,861223596,,,0
S4,2010,2010,2010,2,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,0,,,,0,,1722753,,,0
S4,2010,2010,2010,2,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,26554200,,,0
S4,2010,2010,2010,2,0,2,Export,116,Cambodia,KHM,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,2812518,,,0
S4,2010,2010,2010,2,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,11913827259,,,0
S4,2010,2010,2010,2,0,2,Export,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,470936,,,0
S4,2010,2010,2010,2,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,8993733,,,0
S4,2010,2010,2010,2,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,17622636876,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,835811492,,,0
S4,2010,2010,2010,2,0,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,454090564,,,0
S4,2010,2010,2010,2,0,2,Export,188,Costa Rica,CRI,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,59532840,,,0
S4,2010,2010,2010,2,0,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,262053958,,,0
S4,2010,2010,2010,2,0,2,Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,66488399,,,0
S4,2010,2010,2010,2,0,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,1598185125,,,0
S4,2010,2010,2010,2,0,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,911797910,,,0
S4,2010,2010,2010,2,0,2,Export,212,Dominica,DMA,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,74444,,,0
S4,2010,2010,2010,2,0,2,Export,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,88699732,,,0
S4,2010,2010,2010,2,0,2,Export,218,Ecuador,ECU,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,58405354,,,0
S4,2010,2010,2010,2,0,2,Export,222,El Salvador,SLV,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,0,,,,0,,36004715,,,0
S4,2010,2010,2010,2,0,2,Export,231,Ethiopia,ETH,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,0,,,,,,15989371,,,4
S4,2010,2010,2010,2,0,2,Export,233,Estonia,EST,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,281723189,,,0
S4,2010,2010,2010,2,0,2,Export,242,Fiji,FJI,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,7151195,,,0
S4,2010,2010,2010,2,0,2,Export,246,Finland,FIN,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,416925538,,,0
S4,2010,2010,2010,2,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,5264741481,,,0
S4,2010,2010,2010,2,0,2,Export,258,French Polynesia,PYF,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,1447903,,,0
S4,2010,2010,2010,2,0,2,Export,268,Georgia,GEO,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,252422257,,,0
S4,2010,2010,2010,2,0,2,Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,51096452,,,0
S4,2010,2010,2010,2,0,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,0,,,,,,11230803908,,,4
S4,2010,2010,2010,2,0,2,Export,288,Ghana,GHA,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,0,,,,0,,93733294,,,0
S4,2010,2010,2010,2,0,2,Export,300,Greece,GRC,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,368067588,,,0
S4,2010,2010,2010,2,0,2,Export,304,Greenland,GRL,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,0,,,,0,,591736,,,4
S4,2010,2010,2010,2,0,2,Export,320,Guatemala,GTM,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,532258921,,,0
S4,2010,2010,2010,2,0,2,Export,328,Guyana,GUY,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,119308191,,,0
S4,2010,2010,2010,2,0,2,Export,340,Honduras,HND,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,182491283,,,0
S4,2010,2010,2010,2,0,2,Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,1083218246,,,0
S4,2010,2010,2010,2,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,639104000,,,0
S4,2010,2010,2010,2,0,2,Export,352,Iceland,ISL,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,21416655,,,0
S4,2010,2010,2010,2,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,9827452776,,,0
S4,2010,2010,2010,2,0,2,Export,372,Ireland,IRL,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,0,,,,0,,1177645560,,,4
S4,2010,2010,2010,2,0,2,Export,376,Israel,ISR,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,360591000,,,0
S4,2010,2010,2010,2,0,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,1497154145,,,0
S4,2010,2010,2010,2,0,2,Export,384,Côte d'Ivoire,CIV,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,0,,,,0,,25666858,,,0
S4,2010,2010,2010,2,0,2,Export,388,Jamaica,JAM,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,549838250,,,0
S4,2010,2010,2010,2,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,4973832940,,,0
S4,2010,2010,2010,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,2666850927,,,0
S4,2010,2010,2010,2,0,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,80801814,,,0
S4,2010,2010,2010,2,0,2,Export,404,Kenya,KEN,0,World,WLD,,,,,,,,28,Metalliferous ores and metal scrap,1,No Quantity,,,,,,,10153817,,,0
