Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2015,2015,2015,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,2148149,,,0
S4,2015,2015,2015,2,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,120385,,,0
S4,2015,2015,2015,2,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,1130779,,,0
S4,2015,2015,2015,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,2597079,,,4
S4,2015,2015,2015,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,123926,,,0
S4,2015,2015,2015,2,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,354418,,,0
S4,2015,2015,2015,2,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,26458444,,,0
S4,2015,2015,2015,2,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,1321701223,,,0
S4,2015,2015,2015,2,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,1219779852,,,4
S4,2015,2015,2015,2,0,2,Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,2500255,,,0
S4,2015,2015,2015,2,0,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,361270369,,,0
S4,2015,2015,2015,2,0,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,3175032,,,0
S4,2015,2015,2015,2,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,826249,,,0
S4,2015,2015,2015,2,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,4085283545,,,0
S4,2015,2015,2015,2,0,2,Export,60,Bermuda,BMU,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,385160,,,0
S4,2015,2015,2015,2,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,739745,,,0
S4,2015,2015,2015,2,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,8206871,,,0
S4,2015,2015,2015,2,0,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,3913164,,,4
S4,2015,2015,2015,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,230601441,,,0
S4,2015,2015,2015,2,0,2,Export,84,Belize,BLZ,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,91146,,,0
S4,2015,2015,2015,2,0,2,Export,90,Solomon Isds,SLB,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,12881,,,0
S4,2015,2015,2015,2,0,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,2964664,,,0
S4,2015,2015,2015,2,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,185930666,,,0
S4,2015,2015,2015,2,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,138923,,,4
S4,2015,2015,2015,2,0,2,Export,108,Burundi,BDI,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,95034,,,0
S4,2015,2015,2015,2,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,19456700,,,0
S4,2015,2015,2015,2,0,2,Export,116,Cambodia,KHM,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,26988457,,,0
S4,2015,2015,2015,2,0,2,Export,120,Cameroon,CMR,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,372283,,,0
