Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,276,Germany,DEU,,,,,,,,03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates, and preparations thereof",1,No Quantity,,,,,,,13260203,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,276,Germany,DEU,,,,,,,,03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates, and preparations thereof",1,No Quantity,,,,,,,508280919,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates, and preparations thereof",1,No Quantity,,,,,,,295761,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates, and preparations thereof",1,No Quantity,,,,,,,721383837,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,392,Japan,JPN,,,,,,,,03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates, and preparations thereof",1,No Quantity,,,,,,,301861825,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates, and preparations thereof",1,No Quantity,,,,,,,3122103704,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates, and preparations thereof",1,No Quantity,,,,,,,139300092,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates, and preparations thereof",1,No Quantity,,,,,,,1318892612,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates, and preparations thereof",1,No Quantity,,,,,,,720691101,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates, and preparations thereof",1,No Quantity,,,,,,,2554596256,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,276,Germany,DEU,,,,,,,,04,Cereals and cereal preparations,1,No Quantity,,,,,,,11969229,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,276,Germany,DEU,,,,,,,,04,Cereals and cereal preparations,1,No Quantity,,,,,,,4537482,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,344,"China, Hong Kong SAR",HKG,,,,,,,,04,Cereals and cereal preparations,1,No Quantity,,,,,,,42419194,,,0
